INT1	INT2	INT3	INT4	INT5	LONG1	LONG2	LONG3	LONG4	LONG5	FLOAT1	FLOAT2	FLOAT3	FLOAT4	FLOAT5	DOUBLE1	DOUBLE2	DOUBLE3	DOUBLE4	DOUBLE5	BOOL1	BOOL2	BOOL3	BOOL4	BOOL5
556098081	-1881337958	1250675593	-416587897	-1302316436	-6210953808969728	-1571225994264576	-31979445682176	-4060494809792512	-5256536620269568	937135822.1298491	2047327808.0460875	1724878137.2171834	35475654.38495579	1561056640.9001591	3254887139678171.5	7066402323322185	8417190460515731	2215280943444337.8	178378321977593.97	false	true	false	false	false
-876354639	281983927	-1695226098	-493918594	-1149136613	4016394530193407	-3355334299090944	-5200313271189504	-6694925064208384	527180714999807	1779443718.0143857	1467400930.7747862	1371899621.6703742	641845351.9170113	2074872251.5625684	4815087977107611	6804729083643543	1553336187455013.8	8777790619450081	1953047835809373.8	false	false	true	false	true
996477068	-662975264	1186408907	1944521675	1960905778	-8639015066533887	1241207292297215	6630415498477567	7481990076956671	-3745576302673920	1991731920.0865905	921538882.5148076	1143216317.9656062	203364812.2823818	1964862298.9311118	1470116477348427.8	8861698377072165	1714332567346023.8	8770885715203189	4768557527700159	true	false	false	true	true
418567584	-165041273	1876364756	-1293530193	315529459	3971234572271615	-743946938482688	3584941585596415	-8616755207340031	-8951351354589183	842235474.3499782	1281636030.6728542	1858583848.4815462	357892705.6982352	1443097505.9074006	610788170559867.9	7944434849853979	2986311705762319.5	2614297234695957.5	482370269275927.94	true	false	false	true	true
-1664845011	-1340926169	2080071272	-1371364904	541625897	-1605492514226176	3515278109442047	-3515848308293632	-883479017422848	-6985295312453631	1140270523.4669354	272955048.53930205	1403793458.5744314	523317945.95189255	826881970.8852415	3645978697753659.5	6498094096279391	4621434433597889	4701213980598367	6472271655800975	true	false	true	false	true
2107593197	549508107	1232480305	916753826	-1640419989	3260783148400639	8570220583059455	-1394402714976256	8981065863528447	-3766713644482560	237235473.01835573	1467366526.2099476	910597543.2054121	1679696584.5094888	839608323.821557	876722524530543.9	388027059555721.94	5134134502868697	3876694595337925.5	8339978286846033	true	false	false	true	false
-1747907821	-1497716659	-941301984	1032898062	919549122	-363851983880192	5202614631268351	-535610406207488	7581024649215999	8232803950919679	291898659.8726448	540194801.6930051	2049065896.5660877	1886734378.2053494	1810985930.9239678	7665395516369291	4504438802599391	2130045453785279.8	1419425005888731.8	1095805531220327.9	true	false	true	true	true
-33161933	185253200	-1546117158	-2064588326	399837046	7165064901558271	8128129985937407	4046872645730303	5426794253516799	-4177327395176448	1309364693.887915	47812021.60463313	2113066126.3955698	1754405666.7497702	408490667.41473025	851991367168247.9	2455679095502299.5	5143168981780059	1834858324648093.8	3367265911003921.5	true	false	false	true	false
165453053	-1420276111	-1702260630	542722604	-49044561	-1718750919262208	-4520821070495744	8009158179684351	3855019363270655	-2511264643284992	2058757562.7907689	1117191152.5582633	1802611140.8759434	905608726.3585174	976739334.1037097	2133715171569321.8	8114731238788151	6167084530549501	6923786856937325	6578649584755799	true	false	false	true	false
-1245095571	466549625	-1526190189	696565437	293451705	4883524637163519	-7865417368338431	3822738321965055	4004906037936127	-6930519866474495	1703847127.1679306	334279934.0802902	1517607293.1101325	1769433163.5520258	847304903.863356	8682089978396587	7838381153117295	5384494287587677	3544272152676439.5	3164990604063493.5	false	false	false	true	false
1723191763	-623906477	-1842970203	1207601848	458828846	-4762239034720256	-4798564152639488	-5010866315460608	1403236653203455	8241771012161535	1553520960.1024144	267046586.7238008	345630784.10540384	899487715.0612679	2077072564.8114147	5573219284328841	1395918584256987.8	392667894887843.94	5129603246775709	3659269328088279.5	true	true	false	false	true
-1322724917	-462460373	-703362145	1124057894	-141149887	5903268542676991	-2544824871813120	3993865862250495	7049619586416639	3967975711309823	712156029.4529687	1615252523.7989678	647130652.2799647	1007891213.7377344	964457926.7092597	4107645998785289.5	1255631395673119.8	7982079444463373	5112603370493265	8804855647221485	true	false	true	true	true
1854686864	-110061790	-1356670616	-1894323358	759554939	3845073657659391	-3814655998820352	2185511405879295	-4455461361287168	2711067075543039	1414479548.7600658	594060187.2877245	1967303239.9952672	1139053287.1031072	1859559869.1865752	3675965778523401.5	8466240911347533	5379442843945605	5218481693903435	5965335446463825	false	false	false	true	true
-1208761807	2078979004	282951540	885733280	340404047	-4353290372382720	-2086476451938304	2457920587431935	-6686278598787072	-1614560301678592	1132929903.5682673	1749947128.7819283	815605770.3647027	1006609116.0330445	2039788001.0872872	4336195762616025.5	2480920493599077.5	5808444358399569	4406035292677417.5	8915543187016443	false	true	false	false	true
-814603180	-645281684	-741290064	-479536069	1927234548	7008070802604031	-5140667588149248	-6878323208617983	8711386502791167	-6389958067617792	1616926397.1615775	533718915.95423466	51058049.21602374	984347985.4891351	465251899.5517781	4341214143099089.5	7439603426526171	4774808418674677	284465131339823.94	4506862714622777	true	true	true	true	false
-951053585	-1362979256	-390585690	667063212	-345442618	-1331777436123136	-7124852750155775	2461447833518079	1794893236142079	-5288486101843968	104272741.85570295	190334616.88616484	1925227100.4356544	1093836724.8778276	2050231449.8775601	8401073609592935	6878345398059947	2686773194476707.5	2399539925559151.5	4981275628522861	false	false	true	false	true
1541940750	1641139205	-223346511	-1946565420	-576648825	1147251757940735	2378210260025343	-3982854157500416	6726844241936383	-2635458303492096	1159387075.4445138	401755602.22282386	836163307.9973909	152401759.53551254	158219889.43341368	8202276090898157	1234713764945333.8	2344956768782271.5	1096643648602019.9	3732229333992793.5	false	false	true	true	false
942941584	1011877747	1747158264	-681004311	1149857919	4834054335627263	-5115997375692800	-7438686304075775	-191261717823488	7253656495718399	2014209702.8200538	2030294138.642458	99457562.16537403	2082529820.8759773	1711725345.9350324	1501485583362755.8	6868226571744347	3089814752252121.5	1894375068170521.8	2840077771805559.5	false	true	false	false	false
-1403206189	-423722856	1075052230	1906851823	476355762	-2856576494862336	-4663869024763904	-2510179778166784	2263594469163007	5187750714146815	837968984.1197433	1361799860.3762991	264479327.64989445	1683217073.6815727	1196014233.4877455	1217430630937685.8	814297364300963.9	2657278891833043.5	6968044829118565	5483377098982223	false	false	true	true	true
-1950832873	-79458783	792849759	440496465	-1136861913	-587648624230400	-7017008168173567	-2132079852650496	-8857371665235967	-2268598567436288	509126234.18127936	1502798572.144593	314530413.3894622	1750878036.4319768	973902006.1299375	5772494037524817	5614111014503483	3913902014782423.5	6292927955623367	8515590516619013	false	true	true	true	false
936435475	1111321556	-1396873918	1884081474	788038045	3355661127647231	-1105124898373632	3371655518748671	-5879177458745344	1080770118549503	90455641.89579172	2055126049.812973	1942641912.1902065	1533908541.571637	1402062632.7925515	6150705416777735	5556171096911143	517813218066571.94	8681731833376063	7339575913935685	true	false	true	true	true
158576885	-1122885542	-534393081	-2011980053	-2097052288	4337381645746175	-6748407234297856	1443637984493567	-8112287663521791	-1411961837322240	1109786030.541941	1977190840.5035408	1973505364.5810473	323105456.888169	2107852220.2832582	1411703765747277.8	7548291362915667	1434491660186221.8	799317873322345.9	5268838019947947	true	true	true	true	false
-211045746	-2083001796	917499682	-970652750	244758404	1164763795030015	-5586430243897344	3769720331304959	-8963447416946687	-2458213903499264	515832771.08917284	2115543977.864643	270789540.7297135	749041933.686087	975411778.4891689	582305151632653.9	6465332393721383	2450425532003207.5	2720071280129203.5	2293302310807439.5	false	true	false	true	true
714314386	576927082	195954776	-44180891	1093392179	7197168213426175	5320467128778751	-7068845458063359	-2301304869224448	5767385197838335	2061107450.9798584	1572296187.7866342	1968360485.6654425	1926487834.3482718	801570657.3419181	3613134855583579.5	3556658808881221.5	8991192992465241	6080131672870357	2521337071252463.5	true	false	false	false	true
-1576656964	-1006161375	1854873805	-831665901	388440791	8149065313288191	-4196935082704896	1691843351805951	-3937007826894848	2247558323765247	129154873.36540565	393968571.9770127	1256494189.2867432	929667057.3714466	241503675.2208946	3353266391944943.5	6064948381405553	7063043004870175	7594757095640653	1584087135857343.8	false	false	false	false	true
-439829828	950495142	1954605483	-1404625440	1624442326	-8600853376139263	-4222218154278912	-6564729807962112	-5969518807482368	1630856435204095	1716831075.641057	541772447.426932	1033968759.3604002	1780952923.7842302	816804326.4362538	3469617200862477.5	6953703732085185	7189595604212239	6348257947687353	7008612333809347	true	false	false	true	false
-334497859	-1485817927	274871782	132217804	-1184198318	-5267133743235072	-8442627150053375	1659159674093567	5067121297981439	6327675899609087	649538883.9498295	627242676.3748928	1920642518.6050575	1364343079.3986647	211079646.35423735	7404028313831789	5869027680261863	518857062597269.94	1709653384435351.8	3644906038185975.5	false	true	true	true	true
-1807826899	1814225831	166511867	-1350323480	-1873470101	-6381980786622464	3469780338081791	6077625269223423	163403507171327	8172990000791551	503257489.6337531	1871295531.5741014	2099373416.8530772	485374437.4704497	560413178.4107115	4027587946939367.5	2403255504112651.5	2550974980902691.5	6778605955515585	4828587925258609	true	true	false	false	true
-207008719	325548907	953392749	183815554	-1854015159	8251116777111551	-8126556807364607	-6208743490453504	-4064202289315840	4730182443204607	2070044074.8440707	1699733401.9484167	910334053.4005952	796914108.9536932	1900309708.802937	7698547834883743	6624297463934447	2159406654182101.8	720886049887893.9	1415720840339885.8	true	true	true	false	true
-524524344	-1792162617	-424784152	85454443	-1943813013	474722760392703	7961438417059839	-488234672979968	1544073756278783	4523789886947327	1588027457.8524432	556911188.9130414	1695431475.9146957	1803852971.5033479	458960170.2483653	4387830263791009.5	3887455242423681.5	4461700680242183.5	1248481420995057.8	5705565786669851	false	true	true	false	false
-1305347908	1307747622	1194618846	-1465257450	-1702174574	-1896526137786368	-546040923029504	-2794545251090432	544937766551551	5512296495316991	337913289.19467854	1982686852.7112172	1216145208.2555366	1839853226.5217035	238032595.20908418	8360098719258231	6231097622162273	704988630477761.9	6818778903431281	987684693681463.9	false	false	false	false	false
-223447781	-137803265	1742963932	229197472	168019385	-6856000271286271	8250066007490559	6350486160539647	-3601642020667392	5654141099573247	1467408024.2658832	1347944696.738614	1446432133.041231	1673457983.377413	369317107.77576816	3488098643966755.5	282975065643759.94	2383215741654555.5	306483694973163.94	5296472276300861	true	true	true	false	false
199813836	2020095471	-1031218238	-424859230	434057060	-1475746472132608	5003108836966399	-5610461479305216	6974421105377279	-2992694733307904	2018129251.3578155	754120706.0399718	231964889.541912	1733655861.0407708	1429211139.2346854	360865515061867.94	6014627420550681	8031638487866431	458410377353871.94	5276178968315455	true	false	true	true	true
89876654	-1545601110	917511986	1387150919	-850888532	-5205468918054912	4354521358663679	4194974451105791	5610320479387647	-4031222984474624	1361062168.6390502	833120376.0166016	1643154022.7588723	1245559023.6843934	1314049337.437043	1470045862981391.8	3368723984241347.5	5800747712695289	6304494905372493	3264674650593701.5	false	true	true	false	false
579897211	-620648255	-1302325343	-1684500303	-725531683	-7820097439662079	-7117857422835711	-4914415187001344	-4741524927545344	-8666630657671167	1469486076.3234391	444177399.72571945	1534030284.7306316	175743859.81934458	1489158572.4021494	1044648269613977.9	466365419413699.94	5026976430560871	8736750974384067	1233976551527697.8	true	true	false	false	true
-677005804	-1847856466	627999654	1930272834	2135441832	2444835264921599	1930676999815167	-7560933693980671	4653560922898431	-6614480792322048	647049121.6522894	742759220.5788575	1009385160.659002	1058839453.0216961	130473720.1190244	4664982974295247	1975161213023097.8	2060733946490279.8	7053279831793451	6313364742017279	true	true	false	true	true
2039075172	1138725924	-1881665920	315206842	-415811404	7064401777524735	124269275119615	-1818099716194304	675858377342975	168962411200511	561883801.8280689	1762710582.6650758	902978979.2525866	531365537.64721316	1462137756.8914866	5525925246579101	2112987243274969.8	1925050072907593.8	6049594228406819	427421784373611.94	true	false	true	true	true
1187790171	-1589450508	-344068290	201185860	486721638	-5884587876024320	-558349418496000	-2123535203958784	1617555223478271	7957993580658687	1247880947.3956969	378216060.32383984	1878124479.9671159	927949704.7105422	1989423455.6905725	2644162026249703.5	4729762864449851	5881648133860161	2203550836001465.8	646655114283917.9	true	true	false	true	false
826538221	-510219004	270098612	1652215459	-343655074	3235433450307583	739574590472191	1042695724204031	7707355668021247	-4511162435633152	1282548412.7765725	1077143545.6448746	2026871792.8193703	1182025756.036499	365307027.30496067	4010471714721351.5	8757833656223513	2983837572484869.5	4499622868927083.5	8925050700316983	true	false	false	true	true
-1553450367	2076026781	-226839650	-553168552	346313402	-8050561932853247	4661436861120511	-8457457865064447	-6331945155821568	-1658479668363264	494633795.49324757	328153097.3654003	547416848.9973809	1398888064.8719952	682324971.7311044	5818686958171533	4162309834888089.5	3039942950400301.5	4211338263630157.5	3614032167760567.5	true	false	true	false	false
1224680546	396398454	-770297288	47456933	179714472	-7172589956890623	6118310227738623	-591439293579264	-2626522674364416	-4163685467553792	743685541.2849109	1511446883.4491622	1253853496.7607453	1115994118.4524279	1998952952.4605377	5726130694559301	8474307919421541	7473982340096959	7207111784504525	4396873396625233.5	false	true	false	false	false
483174673	-176055568	2109984404	1250481510	1160039114	840227367157759	3525481504702463	3939441676648447	8803432605417471	-3855346514788352	2000208314.55043	271994414.3810451	2053013944.309271	482579875.50443965	871234660.8938065	6017110145073213	6469841506343781	5913700593508519	8036843700523309	5333114123643571	true	true	true	true	false
1699511360	2052066048	-36769187	-963686154	-1842128448	-969103313469440	-6112249953386496	-2956007550484480	8026268394061823	4799843436331007	228186497.91768295	1373184280.0943196	705208882.4116042	1232982943.500174	1793883026.3166656	7714882161525845	3785084782363735.5	6287151240931841	2165629858072467.8	6477137429555589	true	true	true	false	false
-988816415	-1757524842	1422814055	601493725	-1396089434	7024236937871359	-2870341839880192	-8176039616315391	4935801053904895	7714601097494527	180569824.70808423	831704550.0864785	1413464151.559002	710957326.986081	1394384899.8573704	8431753235605033	1206289118227773.8	7769787784334885	2812968597389661.5	1458201715285301.8	true	false	true	true	true
-2026775411	1015674077	182288470	-365912369	2089844438	-6825533551673343	1819759574253567	-3045019241938944	4844339649839103	-1003307430576128	166488891.11993656	165616605.7404056	677831632.21875	514615551.9738492	1072204917.1155987	3792783461137023.5	163976596403287.97	5483913030632627	1020876719747103.9	368405627347541.94	false	false	true	true	true
1437695912	78558843	1477817749	1008346527	-822303006	9328509583359	1160510946934783	-4851290236518400	408866625945599	-7101332871708671	1040211790.018603	1956543877.75474	1229090533.1291573	1471396241.117234	1238577281.5007148	2213178879593075.8	2614109972061055.5	2743741024303971.5	2111719136346035.8	7402588859519889	false	false	true	true	true
-1183146697	-1285670642	-2009406578	-890491923	-1605323227	-8527827469074431	-656644946001920	4313503548571647	-362889303031808	8630995204964351	714753479.9484055	591605955.2962083	956762752.9567705	436572696.48535657	1094954173.76831	6926543628629015	3534053068791517.5	1430108714352057.8	4324034249221997.5	8718749569130685	false	false	true	false	false
525888158	327912753	1756937424	507767764	-625030936	-5503447537287168	8606007013933055	3422279258079231	4019058659819519	7696453535268863	760943642.1001501	467076180.8552484	1975750897.322967	1588109341.6438675	194927421.03204498	8684959281859147	1819004119256923.8	4256018663704165.5	1685327008740425.8	3834379042411649.5	false	false	false	true	true
-580753029	-889226084	1801305646	493453758	1893114982	-4271651868901376	-6439638742859776	2524863898058751	3463637373026303	-8035715547922431	1724139861.4459913	70294965.21486023	464028422.6963035	769131347.9120919	809440962.3945733	7393235620021611	1164900030728051.8	1430332721883445.8	6266769110462501	7281033349700029	true	true	false	false	true
1843005323	678308709	-368073455	1453008629	1070627276	8220195831152639	6765428839809023	-2153969224777728	-6053149777330176	9001783904960511	1566439771.2057898	51396072.57291771	157720648.17547843	908607967.5384905	579506444.8940986	5834205923847675	6113070186590985	918334141574163.9	7492745941800583	8992586427655075	true	false	false	true	false
-987450792	1718430585	514974365	1952853630	-1813167230	-8862301021011967	-2586450126176256	2472174162018303	-261271333109760	-7441597356572671	465214444.13199043	313893898.2950468	961385344.1205835	131430680.51520954	1187521004.9231322	5143493969976849	5791053221944743	3277781810616681.5	182878134318107.97	7538550046103069	false	false	false	false	true
-377155660	834039964	-1897661570	164670385	-397660325	-7409835351998463	8665468311175167	-5400218673610752	-1710591886491648	4138139215986687	35403031.0736159	1478374785.720741	1354078217.7170625	646211300.7783848	82159198.17261429	3614111064976633.5	7175022512015203	1467521876870579.8	4084098422437585.5	2093654947886045.8	true	false	true	true	false
-1435999673	352992183	1791078670	2091571614	1630887000	2819117136478207	5674669994672127	4927399208681471	107352908890111	-8941598847008767	536280195.387701	1375545819.971762	1441274677.4034448	134128418.26169644	884500991.1758115	6738398516704071	6876562144171765	5338774745682629	6904764383426719	822834222249127.9	true	false	false	true	false
-403374307	1988155016	28977074	1958523619	1868553407	6047998156996607	-3412812680396800	3923092124467199	-350446036189184	-3798153283239936	649938967.6855898	1618905240.052217	835801877.1765715	23103074.480811313	2112859040.5251637	1207329110287899.8	4665672780417531	385514554049647.94	2132771596999595.8	7268754471157217	true	false	true	false	false
1840872160	1631496913	-602884485	-152858144	1256003959	2439390215274495	1924356993187839	3540664126013439	-6767698394480639	4175463710719999	1863071034.96578	675671488.8188803	969265663.7070491	676802993.8445733	1864898051.6446707	5109201831048815	5121007755965391	2567007156236997.5	8614118747133035	3744737170136557.5	false	true	true	true	true
-710097391	611356966	-707108914	1222401473	-937529804	-6556008868478976	4347941930139647	1280712980299775	-7110815857508351	3496534452731903	1308671445.8468702	1463092353.7908373	1734504134.4313672	764291139.1281734	856165098.5795156	5599428977612505	8381598400213521	154730715185215.97	4743962709928087	5225705972583937	true	true	true	false	true
84549832	1180217359	1072810903	-616024020	-485005921	4407249883627519	-2386273851408384	3737877695430655	-2186385972789248	1081240723652607	1449229131.2958226	740970437.7482171	1319991287.3073559	435778651.1277985	1786916283.0044982	2059280484119725.8	2225088044152817.8	6142572923763425	1603516104663701.8	314271859064277.94	false	false	false	true	true
322470561	-1056829047	993332357	1012205145	573144309	-4492598353854464	4770898984828927	5694288381870079	8052055449010175	-6896898749235199	231579843.0118312	567449525.279273	2117698478.0520759	1090147904.6171358	1137176825.8365817	4711711714991319	2125978485638905.8	2041569183832419.8	561892249292687.94	8829368000768663	true	true	false	true	true
-125239985	221268653	-1355419673	2142627931	-1826738383	-859629189857280	5643688898199551	-3005404980183040	-4037595189215232	-5056849409736704	1152786052.1835964	1791693943.654159	1101458445.9181333	2045338806.0800529	1510222675.4896889	4173807654145789.5	2281888730033811.5	6428018856986187	2840421425081401.5	2081507165709441.8	true	false	false	false	true
1717863218	-1854103764	1273024990	-463924421	-918565687	4501334497689599	8014570664755199	2061850640383999	5764012553797631	4719735694426111	1109318775.4746342	1157172675.571036	140903660.13588893	1873415307.1580892	685786500.777911	7202370691351185	7322224890702587	699250807896789.9	5905968589573949	6596670502846631	true	false	false	true	true
-1280242420	1989278	-1160924250	1392394621	-1415914866	-2740284987277312	-1764222543331328	524897667252223	-7025275141357567	8355508826144767	979767778.2243512	1496253925.174682	1052576961.1605371	1117662797.356335	1007885938.9323709	906799446198091.9	2134188726772757.8	3923492590800611.5	3758238966790405.5	7191736290336759	false	false	true	false	false
1682151322	-1169771499	2017179557	-1973285051	-1349157495	6406080057835519	-4747478624632832	5276872543830015	4751465461579775	2083380631961599	1169948023.1914227	34510039.41174402	1430648052.5829	719809067.6038625	1934778427.1708236	3712757875830719.5	6047233084575789	7200837694820369	4914253644189737	5789100365279773	false	true	false	true	true
-1856198028	1924076957	-1550681791	1599908444	-331124794	-5641275877359616	-4722601473605632	4860058705854463	4638395196243967	-4451816116846592	1767406783.5839968	1376809331.9387457	1597411530.5748715	1343170680.2311673	1570214892.9572134	297397723551521.94	8813846617879021	6548671078420863	5323426894054583	7836847259207729	false	true	true	false	false
1621662560	2066716165	1272972390	1149654728	1569542303	7687325609885695	-4841883985510400	1754711363420159	-8134613041938431	5442149554323455	1600495686.3967667	372587062.9250562	678063877.1571876	1068696265.680483	789848784.4148346	1778240365362813.8	7123652732513127	5421326597330669	2440919588141417.5	7342150113337865	false	true	true	true	false
441584322	972888663	1874688396	-1290866043	1871701284	-7462826331340799	1907392124026879	-4822008294539264	4790968662360063	-1883530057482240	1206078485.428073	192163560.2878281	1873597860.5165317	1109232070.2938406	452391794.81915957	1318381490610315.8	4846367510308737	7150658466484451	4431368213056945.5	8394356596148045	false	false	false	false	false
-1511640108	15545954	-152876589	1612004479	-1113810881	-8735333403328511	-3516246347743232	8144220825059327	7668516400398335	-1503482917945344	1443194024.9422522	1984199949.326115	1753144944.1874506	1376361667.8376021	957869.6493633176	2126278479598631.8	4822608676880715	2109390590751123.8	3297091066644647.5	4889691764844351	false	true	false	true	false
-417299863	1706197832	42907558	-1069348288	924440556	-4331659537154048	8428401354342399	-3324584770142208	-6009416998453248	8197168355606527	1252988551.744017	2002780381.0241027	904020173.3920425	650725391.1478949	190885804.22973016	2216596596644289.8	5961825297969447	8267332614824417	2578088515226461.5	1458156192763431.8	false	true	true	false	false
1910907328	-276285476	2027867898	-1215962171	1814198016	1870368566411263	4152328550612991	-2197384369012736	-5812928016023552	-8956912167026687	712904313.4019592	47813342.66568817	1509203970.1586895	246311023.32355446	165886250.20372614	8792269451836811	595132063882727.9	1748673288071155.8	3720801926706069.5	952331555215177.9	false	true	false	false	true
1545764885	-1519385834	-1411028399	-288651433	-1156072919	-6626746208092160	884789833891839	8568345200689151	5552737462779903	-4478489151406080	1004716586.9973071	733577976.3087169	484353242.31750286	842680681.493153	1651333274.0801244	105346317393643.98	3206836133043943.5	5792800932900299	6287475474225167	8261637250660933	false	false	true	true	true
-37417622	1293966313	1944499064	-329730631	90815021	-4063068006907904	-8328942129774591	-8343922103287807	-1550237202120704	3912830147362815	2138373822.2932298	1254837120.9981637	855050422.9770712	1221052481.6355753	261688818.68578172	6352409776044305	7724436790098531	554240211475739.94	1447437219022731.8	730687750672975.9	false	false	true	false	true
-1174466685	-768180597	1148690711	1455990422	-1973886448	5844409211944959	-4208425382707200	2914232165203967	-1023789554991104	-4876128657342464	21829899.176506396	586629286.1298884	265178514.9899953	369424814.6888259	118163948.37639834	4538166881368805	1034664365493335.9	5895865025427035	7179770441624421	564572339996721.9	true	false	true	false	false
1239121964	-1328661109	768349099	679218892	-1521484254	289481676554239	-2264260847599616	-228419396698112	-1691936192724992	708946423709695	254014309.35732895	443377955.5392102	1631455285.5156293	1298832888.9328082	1668874956.9512732	8591203775237995	797209304040091.9	8006020535642479	6208483577699013	2996099806620677.5	false	true	false	true	false
-2077307227	854164321	-581621211	262950153	267004239	96108227330047	-4851571242303488	5209728909049855	5646320542941183	-1544239729082368	1987235631.1147418	1853818967.863204	1942139394.5694025	1870017618.674241	1071669176.1796579	2711550632604271.5	4382790448236013.5	3325254750340115.5	5610745819206147	3108652397909603.5	true	true	true	true	true
-1118763169	1930759274	-476292258	1514596063	-949531182	8448906992025599	-8369735230029823	266126676197375	1315264859734015	8977483403624447	1741789621.665302	933059590.4484549	1537641961.1922648	448816657.580528	500043454.17933196	3181666286473079.5	4460141925504759.5	6653864684425715	2403761699295417.5	950768814171053.9	true	true	true	false	true
-257617940	1162459344	-977219426	1147079513	911038575	1851192435015679	2351271335952383	-7426755862200319	3901284713234431	-7546600024965119	820887692.590856	1943979552.3345902	450432013.01146746	1300672593.0780249	1497474355.0765655	7180563471715391	6060574577030361	8577287148782401	8760702837648265	2789441342918315.5	true	true	true	true	true
1720484371	403092264	549896845	-371975001	1303940853	3300102701580287	6754245042765823	7175118530805759	-317454211350528	2379179827920895	1195775812.115519	1637842813.5743237	960159042.6321844	519707538.43266684	1210284476.1990411	837967529954977.9	6954854764795819	6637331897192787	3108710788868447.5	8795249480782457	false	true	true	true	false
-617629057	-2023102328	764672489	1778417854	913206772	7830918194528255	6931639150051327	-7190311214252031	-6236619237490688	-1171197807034368	962685487.7113802	1479137464.3839173	1961077422.4678504	1409544813.1774738	785797795.8168074	5646280889832955	8367502863419145	519827715864747.94	132205652953291.98	1639771022518693.8	false	false	true	false	true
590804572	-1447258291	225497444	-473954114	1879468926	-3203819395612672	-351663860744192	3354361778405375	-51470850326528	-2169605397151744	1805164272.9945042	1946604218.6450217	483725997.6334049	324703261.27105236	863411064.3671523	4684822052312923	8692301751844767	644831759039461.9	8051310375229341	4820685035143897	false	false	true	false	true
75005691	942274980	150091763	1223916635	568925203	-4686236786622464	-5492814259421184	39221465186303	5716482352742399	7318671168897023	314437764.87559074	851143558.6448641	254895133.78656054	262790038.0665112	1620284218.8642707	4132174815342651.5	8801141609245761	3631171658759253.5	7157352122752277	2785356031222779.5	false	true	false	false	true
